erp_key,bronze,schema,table,domain,dimensional_role,snowflake_candidate,fk_degree,pk_columns,row_count_afya,row_count_allos,populated_clients,silver_table,silver_domain,silver_implemented,grain
HangFire.AggregatedCounter,HangFire__AggregatedCounter,HangFire,AggregatedCounter,plataforma,EXCLUDE,,0,Id,39,39,both,,,no,
HangFire.Counter,HangFire__Counter,HangFire,Counter,unclassified,EXCLUDE,,0,Id,0,0,none,,,no,
HangFire.Hash,HangFire__Hash,HangFire,Hash,plataforma,EXCLUDE,,0,Id,51,91,both,,,no,
HangFire.Job,HangFire__Job,HangFire,Job,plataforma,EXCLUDE,,0,Id,75,294,both,,,no,
HangFire.JobParameter,HangFire__JobParameter,HangFire,JobParameter,plataforma,EXCLUDE,,0,Id,200,1039,both,,,no,
HangFire.JobQueue,HangFire__JobQueue,HangFire,JobQueue,unclassified,EXCLUDE,,0,Id,0,0,none,,,no,
HangFire.List,HangFire__List,HangFire,List,unclassified,EXCLUDE,,0,Id,0,0,none,,,no,
HangFire.Schema,HangFire__Schema,HangFire,Schema,plataforma,EXCLUDE,,0,Version,1,1,both,,,no,
HangFire.Server,HangFire__Server,HangFire,Server,plataforma,EXCLUDE,,0,Id,8,8,both,,,no,
HangFire.Set,HangFire__Set,HangFire,Set,plataforma,EXCLUDE,,0,Id,6,10,both,,,no,
HangFire.State,HangFire__State,HangFire,State,plataforma,EXCLUDE,,0,Id,630,6283,both,,,no,
Tasks.ToDo,Tasks__ToDo,Tasks,ToDo,plataforma,EXCLUDE,,0,Id,0,0,none,,,no,
audit.AuditLogs,audit__AuditLogs,audit,AuditLogs,audit,EXCLUDE,,0,Id,50000,50000,both,,,no,
auth.UserSideBarMenu,auth__UserSideBarMenu,auth,UserSideBarMenu,plataforma,EXCLUDE,,0,UserId|ManagementCycleId,14667,8712,both,,,no,
cache.CONTEXT,cache__CONTEXT,cache,CONTEXT,plataforma,EXCLUDE,,0,,48169,25516,both,,,no,
cache.FILTER,cache__FILTER,cache,FILTER,plataforma,EXCLUDE,,0,,3982,942,both,,,no,
cache.USER_PROFILE,cache__USER_PROFILE,cache,USER_PROFILE,plataforma,EXCLUDE,,0,,8676,4396,both,,,no,
competences.ACAO_SUGERIDA_PDI,competences__ACAO_SUGERIDA_PDI,competences,ACAO_SUGERIDA_PDI,pdi,DIM,DIM_ACAO_SUGERIDA_PDI,0,ID,114,173,both,acao_sugerida_pdi,pdi,yes,
competences.AREA_INTERESSE_MUDANCA_AVALIADO,competences__AREA_INTERESSE_MUDANCA_AVALIADO,competences,AREA_INTERESSE_MUDANCA_AVALIADO,organizacao,DEFER,,0,ID,0,0,none,area_interesse_mudanca_avaliado,organizacao,yes,
competences.AVALIACAO,competences__AVALIACAO,competences,AVALIACAO,avaliacao,DIM,DIM_AVALIACAO_CICLO,0,ID,12,13,both,avaliacao_ciclo,avaliacao,yes,
competences.AVALIADO,competences__AVALIADO,competences,AVALIADO,avaliacao,DIM,DIM_AVALIADO,0,ID,15938,16133,both,avaliado,avaliacao,yes,
competences.AVALIADOR,competences__AVALIADOR,competences,AVALIADOR,avaliacao,FACT,FACT_AVALIADOR,0,ID,47412,33556,both,avaliador,avaliacao,yes,
competences.CALC_RESPOSTA,competences__CALC_RESPOSTA,competences,CALC_RESPOSTA,avaliacao,FACT,FACT_CALC_RESPOSTA,0,ID,50000,50000,both,calc_resposta,avaliacao,yes,
competences.CALC_RESULTADO_AVALIADOR,competences__CALC_RESULTADO_AVALIADOR,competences,CALC_RESULTADO_AVALIADOR,avaliacao,FACT,FACT_CALC_RESULTADO_AVALIADOR,0,ID,42239,25188,both,calc_resultado_avaliador,avaliacao,yes,"tenant_slug, id_avaliador, id_competencia"
competences.CALC_RESULTADO_AVALIADOR_COMPETENCIA,competences__CALC_RESULTADO_AVALIADOR_COMPETENCIA,competences,CALC_RESULTADO_AVALIADOR_COMPETENCIA,avaliacao,FACT,FACT_CALC_RESULTADO_AVALIADOR_COMPETENCIA,0,ID,50000,50000,both,calc_resultado_avaliador_competencia,avaliacao,yes,
competences.CALC_RESULTADO_COLABORADOR_PERFORMANCE,competences__CALC_RESULTADO_COLABORADOR_PERFORMANCE,competences,CALC_RESULTADO_COLABORADOR_PERFORMANCE,avaliacao,FACT,FACT_CALC_RESULTADO_COLABORADOR_PERFORMANCE,0,ID,17221,0,afya,calc_resultado_colaborador_performance,avaliacao,yes,
competences.CALC_RESULTADO_COMPETENCIA,competences__CALC_RESULTADO_COMPETENCIA,competences,CALC_RESULTADO_COMPETENCIA,avaliacao,FACT,FACT_CALC_RESULTADO_COMPETENCIA,0,ID,50000,50000,both,calc_resultado_competencia,avaliacao,yes,
competences.CALC_RESULTADO_FATOR_AVALIACAO,competences__CALC_RESULTADO_FATOR_AVALIACAO,competences,CALC_RESULTADO_FATOR_AVALIACAO,avaliacao,FACT,FACT_CALC_RESULTADO_FATOR_AVALIACAO,0,ID,50000,50000,both,calc_resultado_fator_avaliacao,avaliacao,yes,
competences.CALC_RESULTADO_TIPO_AVALIADOR,competences__CALC_RESULTADO_TIPO_AVALIADOR,competences,CALC_RESULTADO_TIPO_AVALIADOR,avaliacao,FACT,FACT_CALC_RESULTADO_TIPO_AVALIADOR,0,ID,31056,21729,both,calc_resultado_tipo_avaliador,avaliacao,yes,
competences.CATEGORIA_PDI_ACAO,competences__CATEGORIA_PDI_ACAO,competences,CATEGORIA_PDI_ACAO,pdi,DIM,DIM_CATEGORIA_PDI_ACAO,0,ID,14,2,both,categoria_pdi_acao,pdi,yes,
competences.COLABORADOR_FUNCAO,competences__COLABORADOR_FUNCAO,competences,COLABORADOR_FUNCAO,colaborador,BRIDGE,BRG_COLABORADOR_FUNCAO,0,ID,15961,16576,both,colaborador_funcao,colaborador,yes,
competences.COMENTARIO_AVALIADO_NINE_BOX,competences__COMENTARIO_AVALIADO_NINE_BOX,competences,COMENTARIO_AVALIADO_NINE_BOX,avaliacao,FACT,FACT_COMENTARIO_AVALIADO_NINE_BOX,0,ID,1743,0,afya,comentario_avaliado_nine_box,avaliacao,yes,
competences.COMENTARIO_COMPETENCIA,competences__COMENTARIO_COMPETENCIA,competences,COMENTARIO_COMPETENCIA,avaliacao,FACT,FACT_COMENTARIO_COMPETENCIA,0,ID,41080,50000,both,comentario_competencia,avaliacao,yes,
competences.COMPETENCIA,competences__COMPETENCIA,competences,COMPETENCIA,avaliacao,DIM,DIM_COMPETENCIA,0,ID,64,98,both,competencia,avaliacao,yes,
