silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
acao,acao,dbo__ACAO,dbo.ACAO,FACT,REUSE_AS_FACT,FACT_ACAO,"tenant_slug, id",1770,24,implemented,6,
acao,reuniao,dbo__REUNIAO,dbo.REUNIAO,DEFER,REFINE,,,0,0,implemented,6,
acao,participante_reuniao,dbo__PARTICIPANTE_REUNIAO,dbo.PARTICIPANTE_REUNIAO,DEFER,REFINE,,,0,0,implemented,6,
acao,contramedida,dbo__CONTRAMEDIDA,dbo.CONTRAMEDIDA,FACT,REUSE_AS_FACT,FACT_CONTRAMEDIDA,,10748,23356,implemented,6,
acao,topico_reuniao,dbo__TOPICO_REUNIAO,dbo.TOPICO_REUNIAO,DEFER,REFINE,,,0,0,implemented,6,
acao,marcador_acao,dbo__MARCADOR_ACAO,dbo.MARCADOR_ACAO,DEFER,REFINE,,,0,0,implemented,6,
acao,anexo_acao,dbo__ANEXO_ACAO,dbo.ANEXO_ACAO,FACT,REUSE_AS_FACT,FACT_ANEXO_ACAO,,2037,0,implemented,6,
acao,anexo_reuniao,dbo__ANEXO_REUNIAO,dbo.ANEXO_REUNIAO,DEFER,REFINE,,,0,0,implemented,6,
acao,action_base,dbo__ActionBase,dbo.ActionBase,FACT,REUSE_AS_FACT,FACT_ACTION_BASE,,10762,10592,implemented,6,
acao,action_base_label,dbo__ActionBaseLabel,dbo.ActionBaseLabel,DIM,REUSE_AS_DIM,DIM_ACTION_BASE_LABEL,,28,0,implemented,6,
acao,catch_ball,dbo__CATCH_BALL,dbo.CATCH_BALL,DIM,REUSE_AS_DIM,DIM_CATCH_BALL,,0,1,implemented,6,
acao,causa,dbo__CAUSA,dbo.CAUSA,DIM,REUSE_AS_DIM,DIM_CAUSA,,23,2,implemented,6,
acao,diario_de_bordo,dbo__DIARIO_DE_BORDO,dbo.DIARIO_DE_BORDO,DEFER,REFINE,,,0,0,implemented,6,
acao,efetividade_acao,dbo__EFETIVIDADE_ACAO,dbo.EFETIVIDADE_ACAO,DIM,REUSE_AS_DIM,DIM_EFETIVIDADE_ACAO,,239,2,implemented,6,
acao,gestor_marcador_acao,dbo__GESTOR_MARCADOR_ACAO,dbo.GESTOR_MARCADOR_ACAO,DEFER,REFINE,,,0,0,implemented,6,
acao,historico_perc_realizado,dbo__HISTORICO_PERC_REALIZADO,dbo.HISTORICO_PERC_REALIZADO,FACT,REUSE_AS_FACT,FACT_HISTORICO_PERC_REALIZADO,,1,0,implemented,6,
acao,historico_workflow_acao,dbo__HISTORICO_WORKFLOW_ACAO,dbo.HISTORICO_WORKFLOW_ACAO,FACT,REUSE_AS_FACT,FACT_HISTORICO_WORKFLOW_ACAO,,814,29,implemented,6,
acao,knowledge_management,dbo__KnowledgeManagement,dbo.KnowledgeManagement,DEFER,REFINE,,,0,0,implemented,6,
acao,label_action,dbo__LabelAction,dbo.LabelAction,FACT,REUSE_AS_FACT,FACT_LABEL_ACTION,,1175,0,implemented,6,
