erp_key,bronze,diff_type,rows_staging,rows_afya,rows_allos,staging_only_data
HangFire.AggregatedCounter,HangFire__AggregatedCounter,present_both,69,39,39,no
HangFire.Counter,HangFire__Counter,present_both,0,0,0,no
HangFire.Hash,HangFire__Hash,present_both,123,51,91,no
HangFire.Job,HangFire__Job,present_both,352,75,294,no
HangFire.JobParameter,HangFire__JobParameter,present_both,1728,200,1039,no
HangFire.JobQueue,HangFire__JobQueue,present_both,0,0,0,no
HangFire.List,HangFire__List,present_both,0,0,0,no
HangFire.Schema,HangFire__Schema,present_both,1,1,1,no
HangFire.Server,HangFire__Server,present_both,8,8,8,no
HangFire.Set,HangFire__Set,present_both,14,6,10,no
HangFire.State,HangFire__State,present_both,5380,630,6283,no
Tasks.ToDo,Tasks__ToDo,present_both,20,0,0,yes
audit.AuditLogs,audit__AuditLogs,present_both,25530,50000,50000,no
auth.UserSideBarMenu,auth__UserSideBarMenu,present_both,444,14667,8712,no
cache.CONTEXT,cache__CONTEXT,present_both,955,48169,25516,no
cache.FILTER,cache__FILTER,present_both,431,3982,942,no
cache.USER_PROFILE,cache__USER_PROFILE,present_both,117,8676,4396,no
competences.ACAO_SUGERIDA_PDI,competences__ACAO_SUGERIDA_PDI,present_both,21,114,173,no
competences.AREA_INTERESSE_MUDANCA_AVALIADO,competences__AREA_INTERESSE_MUDANCA_AVALIADO,present_both,11,0,0,yes
competences.AVALIACAO,competences__AVALIACAO,present_both,302,12,13,no
competences.AVALIADO,competences__AVALIADO,present_both,1612,15938,16133,no
competences.AVALIADOR,competences__AVALIADOR,present_both,2975,47412,33556,no
competences.CALC_RESPOSTA,competences__CALC_RESPOSTA,present_both,6921,50000,50000,no
competences.CALC_RESULTADO_AVALIADOR,competences__CALC_RESULTADO_AVALIADOR,present_both,419,42239,25188,no
competences.CALC_RESULTADO_AVALIADOR_COMPETENCIA,competences__CALC_RESULTADO_AVALIADOR_COMPETENCIA,present_both,1729,50000,50000,no
competences.CALC_RESULTADO_COLABORADOR_PERFORMANCE,competences__CALC_RESULTADO_COLABORADOR_PERFORMANCE,present_both,38,17221,0,no
competences.CALC_RESULTADO_COMPETENCIA,competences__CALC_RESULTADO_COMPETENCIA,present_both,1520,50000,50000,no
competences.CALC_RESULTADO_FATOR_AVALIACAO,competences__CALC_RESULTADO_FATOR_AVALIACAO,present_both,2487,50000,50000,no
competences.CALC_RESULTADO_TIPO_AVALIADOR,competences__CALC_RESULTADO_TIPO_AVALIADOR,present_both,449,31056,21729,no
competences.CATEGORIA_PDI_ACAO,competences__CATEGORIA_PDI_ACAO,present_both,20,14,2,no
competences.COLABORADOR_FUNCAO,competences__COLABORADOR_FUNCAO,present_both,844,15961,16576,no
competences.COMENTARIO_AVALIADO_NINE_BOX,competences__COMENTARIO_AVALIADO_NINE_BOX,present_both,11,1743,0,no
competences.COMENTARIO_COMPETENCIA,competences__COMENTARIO_COMPETENCIA,present_both,454,41080,50000,no
competences.COMPETENCIA,competences__COMPETENCIA,present_both,2038,64,98,no
competences.CONSIDERACAO_FINAL,competences__CONSIDERACAO_FINAL,present_both,97,10078,9370,no
competences.CURVA_PONTUACAO_AVALIACAO,competences__CURVA_PONTUACAO_AVALIACAO,present_both,1588,416,325,no
competences.CompetenceTypeComment,competences__CompetenceTypeComment,present_both,52,0,226,no
competences.EvaluationCycleCalcResultEvaluated,competences__EvaluationCycleCalcResultEvaluated,present_both,233,14466,12585,no
competences.FAIXA_CLASSIFICACAO_AVALIACAO,competences__FAIXA_CLASSIFICACAO_AVALIACAO,present_both,626,37,65,no
competences.FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,competences__FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,present_both,386,36,0,no
competences.FATOR_AVALIACAO,competences__FATOR_AVALIACAO,present_both,3530,400,112,no
competences.FORMULARIO_AVALIACAO,competences__FORMULARIO_AVALIACAO,present_both,1323,47371,33351,no
competences.FUNCAO,competences__FUNCAO,present_both,615,75,128,no
competences.FUNCAO_COMPETENCIA,competences__FUNCAO_COMPETENCIA,present_both,4367,2150,896,no
competences.FUNCAO_PERGUNTA_LIVRE,competences__FUNCAO_PERGUNTA_LIVRE,present_both,477,1419,284,no
competences.IndividualDevelopmentAction,competences__IndividualDevelopmentAction,present_both,118,10755,10564,no
competences.ItensSenderToReleaseAppraiseesQueue,competences__ItensSenderToReleaseAppraiseesQueue,present_both,19,0,0,yes
competences.LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,competences__LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,present_both,5,0,0,yes
competences.METODO_CALCULO,competences__METODO_CALCULO,present_both,514,73,131,no
competences.OPCAO_FUNCAO_PERGUNTA_LIVRE,competences__OPCAO_FUNCAO_PERGUNTA_LIVRE,present_both,696,3898,0,no
competences.PESO_TIPO_AVALIADOR,competences__PESO_TIPO_AVALIADOR,present_both,484,61,124,no
competences.RESPOSTA_AVALIACAO,competences__RESPOSTA_AVALIACAO,present_both,5122,50000,50000,no
competences.RESPOSTA_LIVRE_AVALIACAO,competences__RESPOSTA_LIVRE_AVALIACAO,present_both,469,50000,29878,no
competences.TIPO_AVALIACAO,competences__TIPO_AVALIACAO,present_both,30,1,1,no
competences.TIPO_AVALIADOR,competences__TIPO_AVALIADOR,present_both,7,7,7,no
competences.TOPICO_PERGUNTA_LIVRE,competences__TOPICO_PERGUNTA_LIVRE,present_both,13,1,1,no
competences.settings,competences__settings,present_both,0,0,1,no
core.Label,core__Label,present_both,130,3,4,no
core.ThemeSettings,core__ThemeSettings,present_both,1,1,1,no
dashboards.AccessLog,dashboards__AccessLog,present_both,235,247,0,no
dashboards.Dashboard,dashboards__Dashboard,present_both,15,6,0,no
dbo.ACAO,dbo__ACAO,present_both,1198,1770,24,no
dbo.ACAO_BOOK,dbo__ACAO_BOOK,present_both,0,0,0,no
dbo.ADMINISTRADOR_LOCAL,dbo__ADMINISTRADOR_LOCAL,present_both,8,0,13,no
dbo.ADMINISTRADOR_LOCAL_FILIAL,dbo__ADMINISTRADOR_LOCAL_FILIAL,present_both,20,0,133,no
dbo.ANEXO_ACAO,dbo__ANEXO_ACAO,present_both,2,2037,0,no
dbo.ANEXO_AVALIACAO,dbo__ANEXO_AVALIACAO,present_both,0,0,0,no
dbo.ANEXO_QUICK_MEETING,dbo__ANEXO_QUICK_MEETING,present_both,0,0,0,no
dbo.ANEXO_REUNIAO,dbo__ANEXO_REUNIAO,present_both,3,0,0,yes
dbo.API_CONFIG,dbo__API_CONFIG,present_both,3,3,3,no
dbo.AREA,dbo__AREA,present_both,3846,34632,2135,no
dbo.AREA_BOOK,dbo__AREA_BOOK,present_both,27,0,0,yes
dbo.AREA_FORUM_SUCESSAO,dbo__AREA_FORUM_SUCESSAO,present_both,14,1,0,no
dbo.AUDIT_ACAO,dbo__AUDIT_ACAO,present_both,4850,19896,150,no
dbo.AUDIT_AREA,dbo__AUDIT_AREA,present_both,32354,50000,45200,no
dbo.AUDIT_AREA_HISTORY,dbo__AUDIT_AREA_HISTORY,present_both,12,10,295,no
dbo.AUDIT_AVALIACAO,dbo__AUDIT_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_AVALIADO,dbo__AUDIT_AVALIADO,present_both,0,0,0,no
dbo.AUDIT_AVALIADOR,dbo__AUDIT_AVALIADOR,present_both,0,0,0,no
