database,table,diff_type,expected,actual,reference_db
MereoGR-Klabin,dbo.Breakdown,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.Breakdown,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.Breakdown,missing_table,exists,missing,MereoGR-Afya
MereoGR-Klabin,dbo.BreakdownValue,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.BreakdownValue,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.BreakdownValue,missing_table,exists,missing,MereoGR-Afya
MereoGR-Klabin,dbo.BreakdownValueOption,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.BreakdownValueOption,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.BreakdownValueOption,missing_table,exists,missing,MereoGR-Afya
MereoGR-Klabin,dbo.BrfGoalSyncLog,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.BrfGoalSyncLog,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.BrfGoalSyncLog,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.EmployeePerformances,extra_table,missing,exists,MereoGR-Afya
MereoGR-Mrv,dbo.FEEDBACK_CONTINUO,column_type_mismatch,TEXTO nvarchar(2048),TEXTO nvarchar(1024),MereoGR-Afya
MereoGR-Klabin,dbo.Goal,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.Goal,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.Goal,missing_table,exists,missing,MereoGR-Afya
MereoGR-Klabin,dbo.GoalResponsible,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.GoalResponsible,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.GoalResponsible,missing_table,exists,missing,MereoGR-Afya
MereoGR-Klabin,dbo.GoalValue,missing_table,exists,missing,MereoGR-Afya
MereoGR-Mrv,dbo.GoalValue,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.GoalValue,missing_table,exists,missing,MereoGR-Afya
MereoGR-Staging,dbo.IMP_EXPRESSAO_CALCULO_META,column_type_mismatch,"PESO_META_REF decimal(28,8)",PESO_META_REF float,MereoGR-Afya
MereoGR-Klabin,dbo.KPI,missing_table,exists,missing,MereoGR-Afya
