erp_key,bronze_table,domain,dimensional_role,layer_path,raw_object,staging_object,edw_object,mart_object,localdrawdb_layer,localdrawdb_group,note
HangFire.AggregatedCounter,HangFire__AggregatedCounter,plataforma,EXCLUDE,raw,raw.HangFire__AggregatedCounter,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.Counter,HangFire__Counter,unclassified,EXCLUDE,raw,raw.HangFire__Counter,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.Hash,HangFire__Hash,plataforma,EXCLUDE,raw,raw.HangFire__Hash,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.Job,HangFire__Job,plataforma,EXCLUDE,raw,raw.HangFire__Job,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.JobParameter,HangFire__JobParameter,plataforma,EXCLUDE,raw,raw.HangFire__JobParameter,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.JobQueue,HangFire__JobQueue,unclassified,EXCLUDE,raw,raw.HangFire__JobQueue,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.List,HangFire__List,unclassified,EXCLUDE,raw,raw.HangFire__List,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.Schema,HangFire__Schema,plataforma,EXCLUDE,raw,raw.HangFire__Schema,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.Server,HangFire__Server,plataforma,EXCLUDE,raw,raw.HangFire__Server,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.Set,HangFire__Set,plataforma,EXCLUDE,raw,raw.HangFire__Set,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
HangFire.State,HangFire__State,plataforma,EXCLUDE,raw,raw.HangFire__State,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
Tasks.ToDo,Tasks__ToDo,plataforma,EXCLUDE,raw,raw.Tasks__ToDo,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
audit.AuditLogs,audit__AuditLogs,audit,EXCLUDE,raw,raw.audit__AuditLogs,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
auth.UserSideBarMenu,auth__UserSideBarMenu,plataforma,EXCLUDE,raw,raw.auth__UserSideBarMenu,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
cache.CONTEXT,cache__CONTEXT,plataforma,EXCLUDE,raw,raw.cache__CONTEXT,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
cache.FILTER,cache__FILTER,plataforma,EXCLUDE,raw,raw.cache__FILTER,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
